start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,input_file,Recover Folder,SD Card,Site name
1418.8515,1418.8601,40078.0,48924.0,Echolocation,Pipistrellus nathusii,0.495,0.535,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
1420.5035,1420.5133,41796.0,49274.0,Echolocation,Pipistrellus nathusii,0.462,0.52,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
1420.8505,1420.859,41796.0,50896.0,Echolocation,Pipistrellus nathusii,0.41,0.505,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
1421.1975,1421.2055,40937.0,61588.0,Echolocation,Pipistrellus nathusii,0.357,0.516,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
1421.4635,1421.4709,40078.0,56473.0,Echolocation,Pipistrellus nathusii,0.509,0.57,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
1421.6445,1421.6519,39218.0,54178.0,Echolocation,Pipistrellus nathusii,0.504,0.596,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
1422.9055,1422.9116,37500.0,56493.0,Echolocation,Myotis daubentonii,0.233,0.516,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
1425.1055,1425.1118,40078.0,63766.0,Echolocation,Pipistrellus nathusii,0.254,0.521,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
1425.9575,1425.9646,42656.0,57259.0,Echolocation,Pipistrellus nathusii,0.353,0.556,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
1426.0785,1426.0867,42656.0,53562.0,Echolocation,Pipistrellus nathusii,0.404,0.545,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
1426.1845,1426.1908,42656.0,60720.0,Echolocation,Pipistrellus nathusii,0.291,0.503,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
1428.0345,1428.0423,41796.0,50898.0,Echolocation,Pipistrellus nathusii,0.511,0.569,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
1428.1155,1428.1246,40937.0,59148.0,Echolocation,Pipistrellus nathusii,0.47,0.515,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
1428.6335,1428.6422,40937.0,57240.0,Echolocation,Pipistrellus nathusii,0.405,0.501,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
1428.8085,1428.8156,39218.0,60404.0,Echolocation,Pipistrellus nathusii,0.373,0.503,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
