Manually-Verified Phonic Group	peak_frequency_time_SPECTROGRAM	peak_frequency_SPECTROGRAM	peak_frequency_WELCH	SNR	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	class	class_prob	det_prob	individual	Annotation	sampling_rate	input_file	_merge	Selection	View	Channel
HF	96.11383333333332	53250.0	53760.00000000001	3.822824032154797	96.1105	96.117	51250	59495	Pipistrellus pipistrellus	0.027	0.034	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	67	Waveform 1	1
HF	96.1346	57750.0	55679.99999999999	2.60834751260108	96.1335	96.1399	33203	66112	Myotis brandtii	0.009	0.024	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	68	Waveform 1	1
HF	96.5014	51750.0	53760.00000000001	3.354587562486135	96.4995	96.5051	34921	66072	Myotis brandtii	0.01	0.024	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	69	Waveform 1	1
HF	96.6107	56250.0	54719.99999999999	19.34865217506526	96.6085	96.6138	33203	74650	Myotis mystacinus	0.008	0.024	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	70	Waveform 1	1
HF	96.61063333333334	56250.0	54719.99999999999	17.58813595532541	96.6095	96.6147	28046	57986	Myotis daubentonii	0.011	0.025	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	71	Waveform 1	1
HF	96.8134	54750.0	54719.99999999999	20.70856709969349	96.8115	96.8171	29765	78743	Myotis mystacinus	0.016	0.039	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	72	Waveform 1	1
HF	96.89373333333332	56250.0	55679.99999999999	13.697163972376815	96.8925	96.8976	31484	76640	Myotis mystacinus	0.015	0.042	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	73	Waveform 1	1
HF	96.9491	53250.0	52800.00000000001	13.4172160824886	96.9475	96.9534	31484	72607	Myotis mystacinus	0.011	0.032	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	74	Waveform 1	1
HF	97.0036	79500.0	72960.0	2.729397206548652	96.9955	97.0369	68437	82191	Rhinolophus ferrumequinum	0.026	0.026	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	75	Waveform 1	1
HF	97.07786666666668	52500.0	55679.99999999999	20.034974384625546	97.0775	97.0823	30625	75327	Myotis mystacinus	0.018	0.045	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	76	Waveform 1	1
HF	97.13176666666666	65250.0	64320.00000000001	8.633158777101524	97.1305	97.1554	65000	75429	Rhinolophus ferrumequinum	0.019	0.024	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	77	Waveform 1	1
HF	97.1336	54000.0	53760.00000000001	22.289722915513856	97.1315	97.1369	32343	74535	Myotis mystacinus	0.009	0.024	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	78	Waveform 1	1
HF	97.13303333333332	54750.0	53760.00000000001	18.788493000888444	97.1325	97.1383	28046	54073	Myotis daubentonii	0.012	0.024	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	79	Waveform 1	1
HF	97.25473333333332	78750.0	72000.0	2.357955299700418	97.2515	97.2966	68437	83851	Rhinolophus ferrumequinum	0.027	0.027	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	80	Waveform 1	1
HF	97.3095	54000.0	53760.00000000001	18.010605655697667	97.3075	97.313	31484	76533	Myotis mystacinus	0.012	0.034	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	81	Waveform 1	1
HF	97.35603333333331	52500.0	54719.99999999999	12.4457237743579	97.3545	97.3593	31484	76391	Myotis mystacinus	0.022	0.049	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	82	Waveform 1	1
HF	97.43803333333334	81750.0	78720.0	1.4208577687481705	97.4075	97.4463	68437	81540	Rhinolophus ferrumequinum	0.031	0.031	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	83	Waveform 1	1
HF	97.43733333333331	55500.0	53760.00000000001	20.7259366558046	97.4365	97.442	30625	72748	Myotis daubentonii	0.01	0.029	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	84	Waveform 1	1
HF	97.5092	51750.0	50880.0	17.58672626805294	97.5075	97.5133	30625	68945	Myotis daubentonii	0.015	0.032	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	85	Waveform 1	1
HF	97.69216666666668	50250.0	47040.0	8.416298733734976	97.6895	97.6955	29765	74872	Myotis daubentonii	0.009	0.025	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	86	Waveform 1	1
HF	97.7496	48750.0	48960.0	3.7676627992491554	97.7475	97.7529	33203	73446	Myotis mystacinus	0.01	0.028	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	87	Waveform 1	1
HF	97.8034	49500.0	48000.0	6.461448684570533	97.8015	97.8071	33203	71375	Myotis brandtii	0.01	0.031	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	88	Waveform 1	1
HF	98.1435	84000.0	71040.0	0.2773191149116007	98.1255	98.171	68437	83527	Rhinolophus ferrumequinum	0.047	0.047	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	89	Waveform 1	1
HF	98.14383333333332	52500.0	53760.00000000001	10.033172132134183	98.1425	98.1475	34921	69159	Myotis mystacinus	0.018	0.056	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	90	Waveform 1	1
HF	98.22326666666666	47250.0	46080.0	1.4093983859979518	98.2205	98.2264	34062	66871	Myotis brandtii	0.008	0.025	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	91	Waveform 1	1
HF	98.3123	77250.0	74880.0	0.2923202732650047	98.2995	98.3397	68437	82225	Rhinolophus ferrumequinum	0.027	0.027	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	92	Waveform 1	1
